中	zhōng=середина, центр; внутри, среди; Китай	zhòng=попасть в цель; быть поражённым (чем-л.)
为	wéi=быть, являться; делать, действовать	wèi=ради, для; из-за
传	chuán=передавать, распространять, транслировать	zhuàn=жизнеописание, повесть, биография
倒	dǎo=падать, опрокидываться; рухнуть	dào=наливать; наоборот, напротив; задним ходом
冲	chōng=мчаться, бросаться; заваривать кипятком; смывать	chòng=резкий, сильный; в направлении, лицом к
划	huà=размечать, разграничивать; планировать	huá=грести; чиркать, царапать; выгодно
卡	kǎ=карта, карточка; калория	qiǎ=застревать, зажимать; застава, пропускной пункт
卷	juǎn=сворачивать, скручивать; рулон	juàn=свиток, том; экзаменационная работа
只	zhǐ=только, лишь	zhī=счётное слово для животных и парных предметов
吐	tǔ=выплёвывать; высказывать, изливать	tù=рвать, тошнить
呛	qiāng=поперхнуться, захлебнуться	qiàng=едкий, удушливый (о дыме, запахе)
啊	a=модальная частица (восклицание, согласие, вопрос)	ā=ах! о! (возглас)
圈	quān=круг, окружность, кольцо; обводить	juàn=загон, хлев
地	dì=земля, суша; местность	de=показатель обстоятельства образа действия
处	chù=место, пункт; отдел, управление	chǔ=находиться, пребывать; ладить; налагать (наказание)
头	tóu=голова; начало; первый; счётное слово для скота	tou=суффикс существительных (石头, 木头)
好	hǎo=хороший, добрый; хорошо	hào=любить, питать пристрастие к
尽	jìn=исчерпать, до конца; отдавать все силы	jǐn=в пределах, насколько возможно; прежде всего
干	gān=сухой, высохший; сушёный	gàn=делать, работать; ствол, остов
当	dāng=быть, служить в качестве; в то время, когда	dàng=считать чем-л.; закладывать; надлежащий
待	dài=относиться к, обращаться с; ожидать; принимать (гостей)	dāi=оставаться, находиться (где-л.)
得	dé=получать, приобретать	de=показатель степени и возможности	děi=нужно, приходится
扇	shàn=веер; створка; счётное слово для дверей и окон	shān=обмахивать, раздувать; хлестать
折	zhé=ломать, сгибать; скидка; поворачивать назад	shé=сломаться, переломиться; терпеть убыток
担	dān=брать на себя, нести (ответственность)	dàn=ноша, груз; дань (мера веса)
拧	nǐng=завинчивать, поворачивать (ручку); ошибиться	níng=выкручивать, отжимать; щипать
挑	tiāo=выбирать, отбирать; нести на коромысле	tiǎo=поднимать, поддевать; разжигать, провоцировать
挨	āi=вплотную, рядом; по очереди	ái=терпеть, переносить (голод, побои); тянуть время
撒	sā=отпускать, выпускать; давать волю	sǎ=рассыпать, разбрасывать, расплёскивать
散	sàn=расходиться, рассеиваться; распространять	sǎn=рассыпанный, разрозненный; порошок
数	shù=число, количество	shǔ=считать, пересчитывать; считаться (лучшим)
晃	huàng=качаться, шататься, раскачивать	huǎng=сверкать, слепить; мелькнуть
涨	zhǎng=подниматься, расти (о ценах, воде)	zhàng=разбухать, вздуваться
炸	zhà=взрывать, взрываться; бомбить	zhá=жарить во фритюре
率	lǜ=коэффициент, ставка, норма, доля	shuài=вести за собой, возглавлять; прямой, откровенный
看	kàn=смотреть, читать; навещать; считать, полагать	kān=присматривать, стеречь, охранять
着	zhe=суффикс длящегося состояния	zháo=подвергнуться, попасть; загореться; уснуть	zhuó=надевать; касаться; применять
种	zhǒng=вид, сорт, порода; семя; счётное слово для видов	zhòng=сеять, сажать, выращивать
空	kōng=пустой, порожний; небо, воздух; напрасно	kòng=свободное время; освобождать; пробел
系	xì=система; факультет, отделение; связь	jì=завязывать, привязывать
结	jié=завязывать; узел; итог,结果 — результат	jiē=завязываться, плодоносить
缝	féng=шить, сшивать, зашивать	fèng=шов; щель, трещина, зазор
背	bèi=спина; за спиной; учить наизусть	bēi=нести на спине, взваливать
落	luò=падать, опускаться, снижаться; отставать	là=забыть, оставить; пропустить
蒙	méng=получать (милость); покрывать; невежественный	mēng=обманывать; угадывать наугад; потерять сознание
行	xíng=идти, двигаться; годится, ладно; поведение	háng=ряд, шеренга; профессия, отрасль; фирма
调	tiáo=настраивать, регулировать; смешивать	diào=перемещать, переводить; тон, мелодия; выяснять
转	zhuǎn=поворачивать, передавать, переводить	zhuàn=вращаться, крутиться; оборот
过	guò=переходить, пересекать; проводить (время); чрезмерно	guo=суффикс прошедшего опыта
还	hái=ещё, всё ещё; также, к тому же	huán=возвращать, отдавать
重	zhòng=тяжёлый; важный, серьёзный	chóng=снова, повторно; слой, ярус
量	liàng=количество, объём, мера	liáng=измерять, мерить
长	cháng=длинный, долгий; длина	zhǎng=расти; старший; начальник
闷	mèn=тоскливый, подавленный; замкнутый	mēn=душный, спёртый; тушить под крышкой
露	lù=роса; открытый, под открытым небом	lòu=обнажаться, проявляться; выдавать
