垒	вал, укрепление; складывать (стену)
垦	поднимать целину, распахивать
域	область, зона, сфера; территория
堕	падать, опускаться; деградировать
堡	крепость, форт; посёлок
塘	пруд, водоём; дамба
墟	развалины, пустошь
壁	стена, перегородка; отвесная скала
壤	почва, земля
夯	трамбовать; трамбовка
夷	уравнивать, сглаживать; иноплеменники
奈	как быть; вынести, справиться
奏	играть (на инструменте); докладывать государю
奚	почему, отчего; в 奚落 — насмехаться
奢	расточительный, роскошный; чрезмерный
奥	глубокий, сокровенный; в транскрипциях
奴	раб, невольник
奶	молоко; бабушка (в 奶奶)
妄	вздорный, безрассудный; напрасно
妖	оборотень, нечисть; колдовской, обольстительный
妻	жена, супруга
姆	няня, воспитательница
始	начинать; начало; впервые
姑	тётя (сестра отца); девушка; пока что
姥	бабушка по матери
姻	родство по браку; брачные узы
姿	осанка, поза; облик, вид
威	мощь, авторитет; устрашать
娃	малыш, кукла; красотка
娇	нежный, изнеженный; прелестный
娱	развлечение, увеселение
婆	пожилая женщина; бабушка; жена (в 老婆)
婉	мягкий, тактичный; иносказательный
婴	младенец, дитя
婿	зять; муж
媒	сват, посредник; среда, носитель; медиа
媚	обольстительный, прелестный; льстить
媲	сравниться, быть под стать
嫂	жена старшего брата, невестка
嬉	веселиться, забавляться
孙	внук; потомок
孝	почтительность к родителям; траур
孪	близнецы (в 孪生)
孵	высиживать, инкубировать
宜	подходящий, уместный; следует
宴	пир, банкет; угощать
宵	ночь, вечер
宾	гость, посетитель
寂	тихий, безмолвный; одинокий
寐	спать, дремать
寓	жильё, квартира; заключать в себе (смысл)
寝	спать; спальня
寞	тихий, пустынный; одинокий
察	наблюдать, обследовать; вникать
寨	укреплённый лагерь, острог; селение
尊	уважать, чтить; почтенный
尔	ты; тот; суффикс в наречиях
尤	особенно, в особенности; вина
尬	неловкий (в 尴尬)
尴	неловкий, конфузный (в 尴尬)
尸	труп, тело
屁	газы, пук; зад (в 屁股)
屉	выдвижной ящик; поддон
屋	дом, здание; комната
屏	ширма, экран; заслонять; сдерживать (дыхание)
屑	крошки, опилки; считать достойным
屠	забивать скот, резать; истреблять
履	обувь; ступать; исполнять (обязательство)
屹	возвышаться, стоять незыблемо
岂	разве, неужели
岖	неровный, каменистый (в 崎岖)
岩	скала, камень; горная порода
岭	горный хребет, перевал
岳	высокая гора; тесть, тёща (в 岳父, 岳母)
峙	возвышаться, противостоять
峰	вершина, пик
崇	высокий, возвышенный; почитать
崎	неровный, ухабистый (в 崎岖)
崖	обрыв, утёс
崩	обрушиваться, рушиться; крах
崭	новый, свежий; выдающийся
巅	вершина горы, пик
川	река, поток; равнина
己	сам, себя; свой
师	учитель, наставник; мастер
希	надеяться; редкий
帐	полог, шатёр; счёт, долг
帕	платок, косынка
帖	приглашение, записка; пост (в интернете)
帘	занавеска, штора
帚	метла, веник
帷	занавес, полог
帽	шапка, головной убор
幄	шатёр, полог
幸	счастье, удача; к счастью
幼	малолетний, юный; ребёнок
幽	тихий, укромный; тёмный, потаённый
庆	праздновать, отмечать; торжество
庇	укрывать, покрывать; защищать
庞	огромный; беспорядочный
康	здоровье; благополучие
廊	коридор, галерея
廓	контур, очертания; обширный
廷	двор государя, дворец
弈	играть в го; состязание
弛	ослаблять, расслаблять
弥	восполнять, заполнять; повсеместно
彩	цвет, краски; яркий; выигрыш
彬	учтивый, воспитанный
徊	бродить, топтаться (в 徘徊)
律	закон, право; правило, норма
徐	медленно, неторопливо
徒	ученик, последователь; напрасно; пешком
徘	слоняться, колебаться (в 徘徊)
徙	переселяться, перемещаться
循	следовать, придерживаться
徽	эмблема, герб, знак
忆	вспоминать; память
怂	подстрекать, подбивать (в 怂恿)
怒	гнев, ярость; гневаться
怜	жалеть, сочувствовать
思	думать, размышлять; мысль
怠	нерадивый, ленивый; пренебрегать
怡	радостный, безмятежный
怯	робкий, трусливый
恋	любить, быть привязанным; любовь
恢	восстанавливать; обширный
恭	почтительный, учтивый
恰	как раз, именно; уместный
恿	подстрекать (в 怂恿)
悄	тихо, украдкой
悔	раскаиваться, сожалеть
悠	долгий, давний; беззаботный
悴	измождённый, осунувшийся
悼	скорбеть, оплакивать
惋	сожалеть, досадовать
惑	сбивать с толку; сомневаться
惕	настороженный, бдительный
惜	жалеть, беречь; жаль
惠	милость, льгота; благодеяние
