惦	помнить, беспокоиться о ком-то
惩	наказывать, карать
惫	изнурённый, обессиленный
惬	довольный, приятный
惰	ленивый, вялый
愤	негодование, гнев; возмущаться
慎	осторожный, осмотрительный
慑	устрашать, наводить страх
慕	восхищаться, стремиться к
慧	ум, мудрость; смышлёный
慰	утешать, успокаивать
憔	измождённый, осунувшийся
憧	мечтать, стремиться (в 憧憬)
憨	простодушный, наивный
憬	пробуждаться, прозревать
憾	сожаление, досада
戈	клевец, копьё; оружие
戚	родственник; печальный
执	держать, придерживаться; исполнять
抉	выбирать, отбирать
抒	изливать, выражать (чувства)
抨	резко критиковать, обличать
拇	большой палец
拒	отказывать, отвергать; отражать
拘	задерживать, арестовывать; стеснять
拙	неуклюжий, неумелый; бездарный
拢	собирать, сближать; примыкать
拯	спасать, выручать
挚	искренний, сердечный
挟	зажимать под мышкой; принуждать
捍	оборонять, отстаивать
捣	толочь, дробить; учинять (беспорядок)
捷	быстрый, проворный; победа
授	вручать, присваивать; преподавать
掌	ладонь; ведать, управлять
掠	грабить, отнимать; скользить мимо
措	меры, шаги; устраивать, изыскивать
掷	бросать, метать
描	срисовывать, описывать; обводить
揠	выдёргивать (в 揠苗助长)
援	помогать, выручать; ссылаться на
携	нести с собой, брать; вести за руку
擅	самовольно; хорошо владеть чем-то
攘	отталкивать, оттеснять; сновать (в 熙熙攘攘)
效	результат, эффект; подражать
敏	чуткий, восприимчивый; проворный
敛	собирать, взимать; сдерживать
敞	просторный, открытый; распахивать
敦	искренний, добродушный; настоятельно просить
斑	пятно, крапина; пятнистый
斟	наливать; взвешивать, обдумывать
斥	отчитывать, порицать; отвергать
斧	топор
施	осуществлять, применять; оказывать (помощь)
旁	сторона, рядом; посторонний
旋	вращаться, кружиться; вернуться
旭	восходящее солнце; лучезарный
旷	просторный, пустынный; прогуливать
昔	прежде, в прошлом; былое
昨	вчера, вчерашний
昼	день, дневное время
晋	продвигаться, повышаться (в звании)
晓	рассвет; знать, быть осведомлённым
晤	встречаться, видеться
晰	ясный, отчётливый
暄	тёплый; в 寒暄 — обмениваться любезностями
暑	жара, зной; лето
暮	закат, сумерки; конец (периода)
曙	заря, рассвет
朗	ясный, звонкий; светлый
朦	тусклый, смутный (в 朦胧)
朱	киноварь, ярко-красный
朽	гнилой, трухлявый; дряхлеть
材	материал, сырьё; способности; телосложение
杜	пресекать, преграждать
杨	тополь, ива
枯	засохший, увядший; иссякнуть
柏	кипарис, туя
柔	мягкий, гибкий; нежный
柬	письмо, пригласительная карточка
柱	столб, колонна; опора
柳	ива
柴	хворост, дрова
柿	хурма
栖	обитать, гнездиться; ночевать
桂	коричное дерево, османтус
案	дело, случай; проект, план; стол
桌	стол
档	архив, досье; разряд, класс
梁	балка, перекладина; мост
梅	слива мэйхуа
梢	верхушка ветки, конец
梭	челнок (ткацкий); сновать
梯	лестница, стремянка
械	орудие, механизм; оружие
棋	шахматы, го; настольная игра
棕	пальма; коричневый
棘	колючки, тернии; тернистый
森	лес; густой, дремучий
棱	ребро, грань; угол
棺	гроб
椅	стул, кресло
植	растение; сажать, насаждать
椎	позвонок; молот
椒	перец, пряность
椭	эллиптический, овальный
椰	кокосовая пальма
楚	отчётливый, ясный; страдание
楷	уставное письмо кайшу; образец
榜	доска объявлений, список; образец
槐	софора, акация
橘	мандарин, цитрус
橙	апельсин; оранжевый
橡	дуб; каучук, резина
橱	шкаф, витрина
檐	карниз, свес крыши
欣	радостный, довольный
欧	Европа; ом
歧	расходиться, ответвляться; разногласие
歹	дурной, злой; злодей
歼	уничтожать, истреблять
殃	бедствие, напасть
殊	особый, необычный; весьма
殖	размножаться, разводить
殴	избивать, драться
殷	радушный, усердный; обильный
殿	дворец, зал, храм
毅	твёрдый, решительный; воля
毫	волосок; ничуть; милли-
毯	ковёр, плед
氓	простолюдин; в 流氓 — хулиган
氧	кислород
汁	сок, жидкость; подлива
汛	паводок, половодье
汪	обширный, безбрежный; лужа
汲	черпать (воду); перенимать
汹	бурный, клокочущий
沐	мыть голову, омываться
沛	обильный, полный сил
沫	пена, пузырьки
