沼	болото, топь; пруд
泉	родник, источник
泛	широкий, всеобщий; разливаться; плавать
泰	спокойный, безмятежный; великий
泳	плавать, плавание
泽	водоём, болото; блеск, глянец
津	слюна; переправа, брод
洪	наводнение, паводок; огромный
洽	согласовывать, договариваться; гармоничный
浊	мутный, грязный
浏	просматривать, обозревать (в 浏览)
浑	мутный; целиком, весь
浪	волна; расточительный, разгульный
浴	купаться, мыться; ванна
涉	касаться, затрагивать; переходить вброд
涕	слёзы; сопли
涛	большие волны, вал
涡	водоворот, вихрь
涤	отмывать, очищать
涩	терпкий; шероховатый, тяжёлый (о слоге)
液	жидкость, раствор
涵	содержать в себе; выдержка, такт
淆	смешивать, путать
淤	ил, наносы; заиливаться
渊	пучина, бездна; глубокий
渐	постепенно, мало-помалу
渔	рыбачить; рыбак; наживаться
渠	канал, арык; русло, канал (сбыта)
渺	ничтожный, крошечный; безбрежный
湃	бушевать (в 澎湃)
湛	глубокий, прозрачный; отточенный
湾	залив, бухта; излучина
溃	прорывать, рушиться; разгром
源	источник, начало; ресурс
溯	идти вверх по течению; прослеживать
溶	растворять(ся), плавить
溺	тонуть; чрезмерно баловать
滔	бурлить, разливаться
滤	фильтровать, процеживать
滥	переливаться через край; злоупотреблять
滨	побережье, взморье; берег
漠	пустыня; равнодушный, безучастный
漱	полоскать рот
潇	свободный, непринуждённый (в 潇洒)
潜	скрытый, потенциальный; погружаться
潦	небрежный, неряшливый (в 潦草)
潭	омут, глубокий водоём
澄	отстаивать(ся), прояснять
澈	прозрачный, чистый насквозь
澎	бурлить, вздыматься (в 澎湃)
澜	волна, вал
澡	мыться, купаться
濒	находиться на грани; примыкать
瀑	водопад
瀚	необъятный, огромный
灸	прижигание (в 针灸)
灼	жечь, обжигать; жгучий
炉	печь, плита, топка
炊	готовить пищу, стряпать
炬	факел
焚	жечь, сжигать
焰	пламя, языки огня
煽	раздувать, подстрекать
熄	гасить, тушить
熙	оживлённый, людный; светлый
燃	гореть, воспламеняться; топливо
燕	ласточка
燥	сухой, пересохший
爪	коготь, лапа
爷	дедушка; господин
牡	самец; пион (в 牡丹)
犀	носорог; острый, проницательный
犬	собака, пёс
犹	словно, подобно; всё ещё
狈	бэй (сказочный зверь); в 狼狈 — в бедственном положении
狐	лиса
狡	хитрый, лукавый, коварный
狮	лев
狱	тюрьма; судебное дело
狸	енотовидная собака; в 狐狸 — лиса
猖	разнузданный, буйный
猩	орангутан, человекообразная обезьяна
猴	обезьяна
猾	хитрый, пронырливый
王	царь, король; княжеский
玫	роза (в 玫瑰)
玻	стекло (в 玻璃)
珍	драгоценность; дорожить; редкий
珠	жемчужина, бусина
琐	мелочный, пустячный
琢	шлифовать нефрит; обдумывать
瑕	изъян, пятно на яшме
瑞	счастливое предзнаменование, благовещий
瑰	необыкновенный; роза (в 玫瑰); самоцвет
璀	сверкать, искриться (в 璀璨)
璃	стекло, глазурь (в 玻璃)
璨	блистать, сиять
瓣	лепесток; долька; клапан
甥	племянник (сын сестры)
申	заявлять, подавать (прошение); излагать
甸	пригород; поле; в 沉甸甸 — увесистый
畸	уродливый, ненормальный; остаток
疆	граница, рубеж; край
疑	сомневаться, подозревать; сомнение
疙	прыщик, шишка (в 疙瘩)
疫	эпидемия, зараза
疵	изъян, дефект
疾	болезнь, недуг; стремительный
痕	след, рубец, отметина
瘟	мор, эпидемия
瘩	прыщик (в 疙瘩)
皂	мыло; чёрный
监	надзирать, контролировать; тюрьма
盒	коробка, футляр
盹	дремать, клевать носом
盾	щит; гульден
眠	сон, спать; спячка
眨	моргать, мигать
眺	смотреть вдаль, обозревать
睐	коситься; в 青睐 — благосклонность
督	надзирать, руководить; подгонять
睦	дружный, согласный
睬	обращать внимание, откликаться
睹	видеть, наблюдать воочию
瞄	целиться, наводить
瞩	пристально смотреть, следить
瞬	мгновение, миг; моргнуть
瞻	взирать, смотреть вверх; почитать
矗	возвышаться, стоять прямо
矛	копьё, пика
矢	стрела; клясться
知	знать, понимать; знание
矩	угольник; правило, норма
矫	выправлять, исправлять
砌	класть (кладку), громоздить
硕	крупный, обильный; магистр (в 硕士)
碌	хлопотливый; заурядный
碧	изумрудный, бирюзовый; яшма
碳	углерод
磁	магнитный; фарфор
