磊	груда камней; открытый, честный
磋	шлифовать; совещаться, обсуждать
礁	риф, подводная скала
祈	молиться, просить
祖	предок, прародитель; дед
祷	молиться; молитва
祸	беда, несчастье; авария
禅	чань, дзэн; созерцание
禽	птицы, пернатые
秀	изящный, красивый; выдающийся
秉	держать, придерживаться (принципа)
秧	рассада, всходы
秩	порядок, распорядок
秽	грязный, нечистый; непристойный
稻	рис (растение)
稿	черновик, рукопись; материал (в редакцию)
突	внезапно; выступать, прорываться
窍	отверстие; секрет, сноровка
窒	перекрывать, задыхаться
窘	стеснённый, в затруднении; конфуз
窟	пещера, нора; логово
窥	подглядывать, подсматривать
窿	дыра, шахта (в 窟窿)
竞	состязаться, соперничать
竣	завершать (строительство)
童	ребёнок, дитя; детский
竿	шест, удилище
笛	флейта; свисток, гудок
筝	гучжэн; в 风筝 — воздушный змей
筷	палочки для еды
篮	корзина; кольцо (в баскетболе)
篷	навес, тент; парус
簇	пучок, гроздь; толпиться
籍	реестр, книга; гражданство
粕	жмых, отходы (в 糟粕)
粮	зерно, продовольствие
粽	цзунцзы (рисовый пирожок)
糕	пирожное, кекс
糙	шершавый, грубый; неочищенный (рис)
紊	запутанный, беспорядочный
索	верёвка, канат; искать; требовать
絮	вата, пух; нудно повторять
纬	уток (в ткани); широта
纺	прясть, ткать
绅	пояс; знатный горожанин (в 绅士)
绍	связывать, представлять (в 介绍)
绒	пух, ворс, бархат
绘	рисовать, изображать
统	управлять, объединять; система
绪	настроение, чувства; нить, начало
绯	алый, багряный
绰	изящный; просторный; прозвище (в 绰号)
绳	верёвка, шнур
绵	вата, шёлк; непрерывный, мягкий
综	сводить воедино, обобщать
缀	соединять, сшивать; украшать
缅	далёкий; вспоминать (в 缅怀)
缆	трос, кабель
缉	разыскивать, задерживать (преступника)
缔	заключать (договор); связывать
缚	связывать, стеснять
缤	пёстрый, разноцветный (в 缤纷)
罗	сеть, силок; собирать, охватывать; тонкий шёлк
羞	стыд; стесняться, смущаться
羡	завидовать, восхищаться
翁	старик; тесть, свёкор
翅	крыло; плавник
翔	парить, планировать
翠	изумрудный; зимородок
耿	прямой, честный; яркий
职	должность, служба; профессия
聪	сообразительный, смышлёный; острый слух
肃	строгий, торжественный; почтительный
肇	начинать, класть начало; учинить (аварию)
肌	мышца, мускул; кожа
肖	походить, быть похожим; портрет
肚	живот, брюхо
肢	конечность (рука, нога)
肤	кожа; поверхностный
肪	жир (в 脂肪)
肴	кушанья, блюда
胁	угрожать, принуждать; бок, рёбра
胞	оболочка плода; соотечественник; клетка (в 细胞)
胧	туманный, неясный (в 朦胧)
胳	рука (в 胳膊)
胶	клей, резина; клейкий
脂	жир, сало; помада
脊	позвоночник, хребет; конёк крыши
脖	шея
腆	стыдливый (в 腼腆); выпячивать
腊	двенадцатый месяц; вяленое мясо
腕	запястье
腼	застенчивый, робкий (в 腼腆)
膊	плечо, предплечье (в 胳膊)
膛	грудная полость; ствол (оружия)
膝	колено
膳	питание, стол, трапеза
臂	рука (от плеча до кисти)
舅	дядя (брат матери)
舒	удобный, приятный; расправлять
舟	лодка, судно
航	плавать, летать; рейс, навигация
舰	военный корабль
舵	руль, штурвал
舶	морское судно
艇	катер, шлюпка
艳	яркий, красочный; прелестный
芒	ость, острие; луч (в 光芒)
芝	кунжут (в 芝麻); чудесный гриб
芬	аромат, благоухание
芭	банан; в транскрипциях (балет — 芭蕾)
芯	сердцевина; чип (в 芯片)
芳	душистый, ароматный; добродетельный
苍	седой, тёмно-синий; бледный
苛	суровый, придирчивый
苟	небрежный, кое-как; если бы
苹	яблоко (в 苹果)
茁	дружно всходить, крепнуть
茂	густой, буйный (о растительности)
茄	баклажан; помидор (в 番茄)
茉	жасмин (в 茉莉)
荆	терновник, колючий кустарник
荐	рекомендовать, выдвигать
荧	мерцать, светиться
荫	тень (от деревьев); укрывать
荷	лотос; нести, бремя
莅	прибывать, присутствовать
莉	жасмин (в 茉莉)
莲	лотос
莽	густые заросли; грубый, безрассудный
菇	гриб
菊	хризантема
菌	гриб; бактерия, микроб
菩	в 菩萨 — бодхисаттва
萄	виноград (в 葡萄)
萎	вянуть, увядать; сокращаться
萧	унылый, запустелый
萨	в транскрипциях (бодхисаттва — 菩萨)
著	известный, выдающийся; сочинение
葡	виноград (в 葡萄); Португалия
