醇	крепкий, выдержанный (о вине); густой, насыщенный
钓	удить рыбу; крючок
钝	тупой, затупленный; медлительный
钞	банкнота, купюра
钢	сталь; стальной
钥	ключ (в 钥匙)
钦	уважать, преклоняться; высочайший
钧	цзюнь (мера веса); Ваш (почтит.)
铅	свинец; графит (в 铅笔)
铭	высекать надпись; запечатлеть
铸	отливать, лить (металл)
锐	острый, отточенный; проницательный
锡	олово; жаловать
锦	парча; великолепный
锲	резать, гравировать
锻	ковать, закалять; тренировать
镜	зеркало; линза, объектив
闺	женские покои; девушка (в 闺女)
阀	клика, магнат; клапан, вентиль
阁	терем, павильон; кабинет министров
阂	преграда, отчуждение (в 隔阂)
阅	читать, просматривать; проверять
阎	ворота квартала; фамилия Янь
阔	широкий, просторный; богатый
阱	яма-ловушка, западня
阿	приставка в именах; в транскрипциях
陌	незнакомый, чужой; межа
院	двор; учреждение (больница, институт)
陨	падать (с высоты); метеорит (в 陨石)
陵	холм; мавзолей, усыпальница
隙	щель, зазор; размолвка
障	преграда, помеха; заслонять
隧	туннель, подземный ход
隶	подчиняться; раб, слуга
雀	воробей, пташка
雁	дикий гусь
雌	самка; женский
雹	град
霉	плесень; в 倒霉 — не везти
霍	внезапно, стремительно
霞	заря, розовые облака
霸	деспот, гегемон; захватывать силой
靴	сапоги, ботинки
靶	мишень, цель
鞠	кланяться; растить
韧	прочный, вязкий; упругий
韵	рифма; очарование, колорит
顷	мгновение; цин (мера площади)
顽	упрямый, упорный; озорной
颂	славить, воспевать; ода
颊	щека
频	частота; часто, неоднократно
颓	упадочный, унылый; ветшать
颖	метёлка колоса; острый ум, незаурядный
飙	вихрь; резко взлетать (о цифрах)
饰	украшать; украшение, отделка
饲	кормить, выращивать (скот)
馁	голодный; падать духом
馈	подносить дар; обратная связь (в 反馈)
馒	пампушка, мантоу
驭	править (лошадьми), управлять
驰	мчаться, нестись; славиться
驳	опровергать, отклонять; пёстрый
驶	вести (машину), ехать; мчаться
骄	гордый, заносчивый
骇	ужасать, потрясать
骏	добрый конь, скакун
骤	внезапно; этап, шаг
骼	кость, скелет
髓	костный мозг; суть, квинтэссенция
髦	модный (в 时髦); чёлка, грива
魁	главарь, первый; исполинский
魅	чары, обаяние; нечисть
鲁	грубый, неотёсанный; опрометчивый
鲤	карп
鲨	акула
鳄	крокодил
鸦	ворона
鸭	утка
鸽	голубь
鹏	Пэн (исполинская птица)
黎	многочисленный; тёмный; в 黎明 — рассвет
鼎	треножник; знаменитый, влиятельный
鼠	мышь, крыса
鼻	нос; первый, начальный
齿	зубы; зубцы; возраст
龄	возраст, лета
