丐	нищий; просить милостыню
专	специальный, профильный; сосредоточиться на одном
世	поколение, эпоха, век; мир, свет
丧	sàng=утратить, лишиться; пасть духом|sāng=траур, похороны
主	хозяин, владелец; главный, основной; распоряжаться
么	вопросительная частица (в 什么, 怎么)
义	справедливость, долг; смысл, значение
乌	ворон; чёрный, тёмный
乎	классическая частица (вопроса, восклицания); в, у, от
乏	недоставать, нехватка; усталый, обессиленный
乐	lè=радость, радостный; веселиться|yuè=музыка
乞	просить, умолять; нищенствовать
习	изучать, упражняться; привычка, обычай
予	давать, предоставлять, жаловать
互	взаимно, обоюдно, друг друга
亚	Азия; второй, вице-, уступающий
亡	погибнуть, умереть; утратить; бежать
京	столица; Пекин (в сочетаниях)
什	что, какой (в 什么); разный, смешанный
仁	человеколюбие, гуманность; милосердный; ядро, зерно
今	нынешний, сегодняшний; теперь, ныне
仓	склад, амбар, хранилище
仗	сражение, бой; опираться, полагаться на
仙	бессмертный, небожитель; фея, волшебный
仪	церемония, обряд, этикет; прибор, аппарат
价	цена, стоимость; ценность
伏	припасть к земле, притаиться; спад, склониться
伐	рубить (лес); карать, идти походом
休	отдыхать; прекратить; уходить на покой
众	толпа, масса, публика; многочисленный
优	отличный, превосходный; льготный
伟	великий, выдающийся; величественный
伪	поддельный, фальшивый; притворный
伯	дядя (старший брат отца); граф
估	оценивать, прикидывать, предполагать
似	sì=походить, быть похожим; словно, как будто|shì=как, подобно (в 似的)
体	тело, организм; форма, система; вид, жанр
作	делать, совершать; сочинять; произведение
佣	нанимать, наём; комиссионные; прислуга
佩	носить (на поясе), надевать; восхищаться, уважать
侃	говорить прямо и спокойно; болтать, подтрунивать
例	пример, случай; прецедент; правило, порядок
侵	вторгаться, посягать; захватывать
促	побуждать, подталкивать; торопить; близкий, сжатый
俏	миловидный, изящный; ходовой (о товаре)
俭	бережливый, экономный, скромный
候	ждать, ожидать; время, пора; климат, сезон
健	крепкий, здоровый; укреплять
偿	возмещать, компенсировать; погашать (долг)
儿	ér=сын, ребёнок|r=суффикс эризации (-r)
兄	старший брат
兰	орхидея; изящный, благородный
兴	xìng=интерес, увлечение|xīng=подниматься, процветать; затевать
具	орудие, инструмент, принадлежность; обладать, иметь
典	классический труд, канон; словарь; образец, норма
军	армия, войско; военный; воинское звание
农	земледелие, сельское хозяйство; крестьянин
冠	guàn=первое место, чемпионство; венчать|guān=шапка, венец, корона
冬	зима; зимний
决	решать, принимать решение; непременно; прорвать (плотину)
况	положение, обстановка; тем более, к тому же
冶	плавить металл, литьё; облагораживать
凌	приближаться, возвышаться над; притеснять; лёд (в 冰激凌 — фонетик)
凝	сгущаться, застывать, замерзать; сосредоточить (внимание)
凡	всякий, любой; обычный, заурядный; мирской
凤	феникс (самец); символ радости и величия
凰	феникс (самка)
击	бить, ударять; нападать, атаковать
刊	издавать, печатать; издание, периодика
刑	наказание, кара; уголовный
利	выгода, польза, прибыль; острый; гладкий, бойкий
剧	пьеса, спектакль, драма; острый, резкий
务	дело, занятие, служба; непременно, обязательно
劣	плохой, скверный, низкосортный
助	помогать, содействовать; помощь
努	напрягать силы, стараться, усердствовать
劳	труд, трудиться; утруждать; усталость
势	сила, мощь; положение, обстановка; тенденция
勃	бурно расти, кипеть; внезапно
勇	храбрый, отважный; мужество
募	набирать, вербовать; собирать (средства)
勤	усердный, прилежный; частый; служебные обязанности
勺	ложка, черпак, ковш
匀	ровный, равномерный; уравнивать
匆	поспешно, торопливо, наспех
匠	мастер, ремесленник; умелец
医	лечить, врачевать; врач; медицина
午	полдень; полуденный
华	цветущий, роскошный; блеск, великолепие; Китай, китайский
卑	низкий, приниженный; подлый; презирать
卓	выдающийся, незаурядный, превосходный
博	обширный, богатый; эрудиция; играть на деньги
卜	bo=редька (в 萝卜)|bǔ=гадать, ворожить; предсказание
卦	гексаграмма, гадательный знак; гадание
厅	зал, холл; управление, департамент
厌	испытывать отвращение, надоедать; пресытиться
参	cān=участвовать, вступать; посещать|shēn=женьшень
友	друг, товарищ; дружеский
召	созывать, сзывать; призывать
叮	настойчиво наказывать, твердить; жалить (об укусе)
叹	вздыхать; восхищаться, восклицать
吁	взывать, призывать; вздыхать
吉	счастливый, благоприятный, удачный
否	не, нет; отрицать; или нет (в вопросе)
启	открывать; начинать; разъяснять, просвещать
呐	возглашать, кричать; запинаться
呕	тошнить, рвать; изрыгать
咀	жевать, разжёвывать; смаковать
咐	наказывать, велеть, поручать
咧	liě=скривить, растянуть (рот)|liē=небрежно, вразвалку (в 大大咧咧)
咱	мы (с тобой), нас
哥	старший брат; парень, приятель
哽	давиться, задыхаться от слёз; всхлипывать
唤	звать, окликать; призывать, будить
售	продавать; сбывать
商	торговля, коммерция; торговец; обсуждать
喜	радоваться, любить; радость, торжество
嘱	наказывать, поручать; завещание
嘲	насмехаться, высмеивать, подтрунивать
器	прибор, аппарат, устройство; сосуд, вместилище
固	твёрдый, прочный; укреплять; упорно
圣	святой, священный; мудрец, святитель
坚	твёрдый, крепкий; стойкий, непреклонный
坦	ровный, гладкий; откровенный, прямой
型	тип, модель, образец; литейная форма
培	взращивать, культивировать; подсыпать землю
基	основа, фундамент, база; основной
堪	мочь, выносить, выдерживать; достойный
塑	лепить, ваять; формировать; пластик
境	граница, рубеж; местность, среда, обстановка
