墅	загородный дом, вилла
士	учёный муж, интеллигент; воин; специалист (в званиях)
复	снова, повторно; повторять; восстанавливать; отвечать
夏	лето; династия Ся
夕	вечер, сумерки; канун
夫	мужчина, муж; работник
央	центр, середина; умолять, упрашивать
失	потерять, утратить; упустить; промах, ошибка
奇	странный, необычный; удивительный; редкий
奉	подносить, преподносить; почитать; получать (приказ)
奋	напрягать силы, воодушевляться; бороться
契	договор, соглашение; согласие, созвучие; гравировать
奠	закладывать (основу), утверждать; поминать усопшего
奸	коварный, хитрый; предатель; прелюбодеяние
妆	макияж, наряд; наряжаться, краситься
妇	замужняя женщина, жена; женщина
妈	мама, мать
妒	ревновать, завидовать
妨	мешать, препятствовать; вредить
妹	младшая сестра
姐	старшая сестра; девушка, барышня
委	поручать, доверять; член комитета; обида
婚	вступать в брак; брак, свадьба
婪	алчный, жадный
媳	невестка, сноха; жена (сына, младшего)
嫉	завидовать, ревновать
孕	беременность; вынашивать
孤	одинокий, сирота; уединённый
孩	ребёнок, дитя
宁	níng=спокойный, мирный, тихий|nìng=лучше уж, предпочесть
宅	жилище, дом, усадьба
宇	пространство, космос; здание, кровля
宏	огромный, обширный; величественный
宙	время (в 宇宙 — вселенная)
实	настоящий, подлинный; плод; честный; действительно
客	гость, посетитель; клиент; путник
宣	объявлять, провозглашать; распространять
宪	конституция, основной закон
容	вмещать, содержать; допускать; облик, внешность
宿	ночевать, останавливаться на ночлег; давний
寒	холодный, стужа; бедный; дрожать
寡	вдовый, вдова; малочисленный, одинокий
寥	немногочисленный, редкий; пустынный
导	вести, направлять; руководить; приводить к
寿	долголетие, продолжительность жизни; юбилей
尘	пыль, прах; мирская суета
尾	хвост; конец, окончание; следовать за
居	жить, проживать; жилище; занимать (место)
屈	сгибать, гнуться; покоряться; несправедливость, обида
展	развёртывать, расправлять; развивать; выставка
屿	островок, остров
岗	пост, вахта; должность; холм
峡	ущелье, теснина; пролив
峭	крутой, отвесный; резкий
峻	высокий, крутой; суровый, строгий
崛	возвышаться, подниматься; внезапно выдвинуться
嵌	вставлять, инкрустировать, врезать
巡	обходить дозором, патрулировать; объезжать
巢	гнездо; логово, притон
工	работа, труд; рабочий; мастерство
巨	огромный, громадный, гигантский
巩	укреплять, упрочивать
巴	льнуть, прилипать; жаждать; суффикс существительных
巾	платок, полотенце, косынка
币	деньги, валюта, денежные знаки
帜	знамя, флаг, стяг
帝	император, государь; божество
幻	иллюзия, фантазия; призрачный; превращаться
庄	деревня, село; усадьба; солидный, степенный
府	управа, правительственное учреждение; резиденция
庭	двор; зал; суд, судебное заседание; семья
庸	заурядный, посредственный; обыденный
廉	честный, неподкупный; дешёвый
异	иной, отличный; странный, необычный; чужой
弃	бросать, отказываться; отвергать
弊	вред, зло; злоупотребление; изъян
弘	расширять, приумножать; великий
弟	младший брат; ученик
形	форма, вид, облик; образовываться; описывать
彰	явный, очевидный; отмечать, прославлять
影	тень; изображение, отражение; кино, фото
役	служба, повинность; сражение, кампания
彻	пронизывать, проникать насквозь; до конца
彼	тот, другой, противоположная сторона
径	тропа, путь; диаметр; напрямик
御	управлять, править; оборонять, отражать; императорский
德	мораль, нравственность; добродетель; Германия
志	воля, устремление; записи, летопись; отмечать
忠	верный, преданный; верность
忧	тревожиться, печалиться; печаль, забота
忽	вдруг, внезапно; пренебрегать, упускать
态	состояние; манера, отношение; вид
怎	как? каким образом? почему?
怖	страшный, ужасающий; ужас
恍	словно, как будто; рассеянный, смутный
恐	бояться, страшиться; страх; пожалуй, боюсь что
恒	постоянный, неизменный; упорство
恕	прощать, извинять; снисхождение
恤	жалеть, сострадать; помогать, оказывать пособие
恩	милость, благодеяние; доброта, любовь
息	дышать, дыхание; отдых; прекращать; весть; проценты
恳	искренний, задушевный; убедительно просить
恼	досадовать, злиться; досада, раздражение
悉	знать, быть осведомлённым; полностью, всецело
悟	осознавать, постигать; прозрение
悦	радоваться, быть довольным; приятный
悲	печаль, скорбь; печальный, трагический
情	чувство, эмоция; любовь; обстоятельства, дело
惊	пугаться, изумляться; испуг, тревога
惧	бояться, страшиться
惭	стыдиться; стыд
惮	бояться, опасаться; уклоняться
愉	радостный, приятный; радовать
意	мысль, идея; смысл; намерение, желание
愚	глупый, невежественный; дурачить
愧	стыдиться, совеститься; стыд
慈	добрый, милосердный; ласковый
慨	вздыхать, сокрушаться; щедрый, великодушный
慷	великодушный, щедрый; воодушевлённый
懈	расслабляться, ослаблять усилия; нерадивый
战	война, битва, бой; сражаться
房	дом, здание; комната; помещение
扰	беспокоить, мешать; тревожить
承	принимать на себя, нести; признавать; наследовать
技	умение, мастерство; техника, технология
抑	сдерживать, подавлять; или же
抗	сопротивляться, противостоять; противо-
抚	гладить, ласкать; утешать; заботиться
拓	осваивать, расширять; разрабатывать (целину)
拜	кланяться, приветствовать; поклоняться; наносить визит
拥	обнимать; обладать, иметь; толпиться
择	выбирать, отбирать
括	включать, охватывать; заключать в скобки
挫	неудача, срыв; сбивать, подавлять
振	встряхнуть, воодушевить; колебаться, вибрировать
损	вредить, повреждать; терять, убыток
掘	копать, рыть; раскапывать
控	управлять, контролировать; обвинять, жаловаться
掩	прикрывать, закрывать; скрывать, маскировать
搏	биться, сражаться; схватка; биение (пульса)
