摄	снимать, фотографировать; поглощать, вбирать; замещать
摧	разрушать, ломать; сокрушать
摩	тереть, растирать; трение; массировать
撰	сочинять, составлять, писать
撼	потрясать, сотрясать; волновать
操	управлять, вести; упражнение, гимнастика; заниматься (делом)
擎	поднимать, держать на весу; подпирать
政	политика; управление, административные дела
敌	враг, противник; противостоять; равный по силе
旅	путешествие, поездка; путешествовать
旗	флаг, знамя, стяг
旦	рассвет, утро; день
旨	цель, замысел; смысл; указ
旱	засуха; сухой, безводный
昂	поднимать (голову); высокий, дорогой; воодушевлённый
昆	старший брат; потомки; насекомое (в 昆虫)
昌	процветать, преуспевать; светлый
明	светлый, ясный; понимать; следующий (год, день)
易	лёгкий, простой; менять, обменивать
星	звезда; звёздный; знаменитость
映	отражать, отсвечивать; показывать (фильм)
春	весна; молодость; весенний
昧	тёмный, смутный; невежественный; скрывать
晨	утро, рассвет
普	всеобщий, повсеместный;普通话 — путунхуа
景	пейзаж, вид; обстановка, положение
晶	кристалл; блестящий, прозрачный
智	ум, разум, мудрость; интеллектуальный
暧	неясный, смутный; двусмысленный
暴	жестокий, свирепый; бурный, внезапный; обнажать
曝	выставлять на солнце, сушить; предавать огласке
朋	друг, приятель, товарищ
木	дерево, древесина; деревянный; оцепенелый
术	искусство, мастерство; способ, приём; техника
朴	простой, безыскусный; искренний
机	машина, механизм; самолёт; случай, момент
李	слива; фамилия Ли; поклажа (в 行李)
杖	палка, посох, трость
杠	перекладина, штанга; рычаг
杯	чашка, стакан, бокал; кубок
杰	выдающийся; герой, талант
板	доска, плита, панель; скованный, деревянный
构	строить, сооружать;构造 — структура, конструкция
枉	напрасно, зря; кривой; несправедливо обвинять
析	разделять, расчленять; анализировать
林	лес, роща; множество
果	плод, фрукт; результат; действительно
枢	стержень, ось; узловой центр
柄	рукоятка, ручка; власть; повод, компромат
柜	шкаф, шкафчик; прилавок
校	школа, учебное заведение; офицер старшего звена
格	клетка, графа; норма, стандарт; характер
桑	тутовое дерево, шелковица
检	проверять, осматривать, контролировать
槛	порог; дверной косяк
槽	корыто, кормушка; жёлоб, паз
模	mó=образец, модель; подражать|mú=форма, шаблон, лекало
欢	радостный, весёлый; радость
欲	желание, вожделение; хотеть; вот-вот
欺	обманывать, надувать; притеснять
歉	извиняться, сожалеть; неурожай
武	военный, воинский; боевые искусства
毕	заканчивать, завершать; полностью
毙	убить наповал; погибнуть
氏	род, фамилия, клан
民	народ, население; гражданский
氛	атмосфера, обстановка, настрой
永	вечный, всегда, навсегда
汉	ханьский, китайский; мужчина
污	грязный, загрязнять; нечистоты
汰	отсеивать, отбраковывать, вымывать
汽	пар; бензин (в 汽油); авто (в 汽车)
沃	плодородный, тучный; орошать
沙	песок; песчаный; крупинка
没	méi=не, нет, не иметь|mò=тонуть, погружаться; конфисковать
沧	синий, лазурный (о море); просторный
沮	унывать, падать духом; препятствовать
沸	кипеть, бурлить; кипение
泊	pō=озеро|bó=причаливать, стоять на якоре; скитаться
泌	выделять, сочиться; секреция
泞	грязь, слякоть; топкий
波	волна; колебание; перипетии
泣	плакать, рыдать; слёзы
洁	чистый, опрятный; очищать
洋	океан; заморский, западный; обширный
洲	континент, часть света; островок
浆	густая жидкость, сок, кисель; крахмалить
济	помогать, выручать; переправляться
浩	огромный, необъятный; величественный
浸	погружать, пропитывать; вымачивать
涯	берег, край; предел, горизонт
淀	осадок, отстой; оседать; крахмал
淳	простой, безыскусный; честный
温	тёплый; температура; мягкий; подогревать
溉	орошать, поливать
滋	питать, взращивать; размножаться; вкус
滞	застаиваться, задерживаться; вялый, инертный
滩	отмель, пляж; порог (на реке)
漾	колыхаться, струиться; рябь
激	возбуждать, побуждать; бурный, резкий
灿	яркий, блистательный
炎	пламя, жар; воспаление
炫	блистать, сверкать; кичиться, выставлять напоказ
烁	сверкать, мерцать
烈	сильный, бурный; яростный; доблестный
烛	свеча; освещать
烹	готовить, варить; кулинария
焕	сиять, блистать; обновляться
焙	подсушивать на огне, запекать
然	так, таким образом; однако; -о (наречный суффикс)
煌	блестящий, сияющий
父	отец, батюшка
爸	папа, отец
牧	пасти скот; пастбище, скотоводство
物	вещь, предмет; материя; существо
牲	жертвенное животное; домашний скот
牺	жертвовать; жертвенное животное
状	состояние, положение; форма, вид; грамота
狭	узкий, тесный; ограниченный
猎	охотиться; охота, добыча
现	сейчас, нынешний; появляться, проявляться; наличный
瓜	тыква, дыня, арбуз (общее название бахчевых)
瓶	бутылка, ваза, флакон
瓷	фарфор, фаянс
甘	сладкий; охотно, по доброй воле
甚	весьма, крайне; даже
畅	беспрепятственно, свободно; вволю; ходкий
畏	бояться, страшиться; благоговеть
畔	берег, край; межа
畜	chù=домашний скот, животное|xù=разводить скот, содержать
畴	пашня, поле; категория, сфера
疏	редкий, разреженный; небрежный; прочищать
疗	лечить, врачевать; лечение
疲	усталый, утомлённый; утомление
症	болезнь, недуг; симптом
痪	паралич, отняться (о конечностях)
痴	глупый, тупой; помешанный на чём-то
痹	онемение, паралич; ревматизм
瘤	опухоль, нарост
皇	император, монарх; величественный
